NUM_FATT,DATA,COD_CLIE,QUANTITA,GRUPPO,PRESTAZION,PREZZO,IVA,ENPAV
196,16/02/2018,5762,1,AMBULATORIO,TERAPIA,12.06,2.70,0.24
196,16/02/2018,5762,1,AMBULATORIO,VISITA,24.11,5.41,0.48
197,16/02/2018,1795,1,AMBULATORIO,VISITA,24.11,5.41,0.48
197,16/02/2018,1795,1,AMBULATORIO,SMALTIMENTO CARCASSA,40.18,9.02,0.80
198,16/02/2018,6286,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
198,16/02/2018,6286,1,AMBULATORIO,VISITA,24.11,5.41,0.48
198,16/02/2018,6286,1,AMBULATORIO,TERAPIA,8.04,1.80,0.16
199,19/02/2018,6266,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
200,19/02/2018,6294,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
201,19/02/2018,4298,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
202,19/02/2018,5403,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
202,19/02/2018,5403,1,AMBULATORIO,TERAPIA,8.04,1.80,0.16
203,19/02/2018,6241,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
204,20/02/2018,2077,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
205,20/02/2018,5679,1,CHIRURGIA,INTERVENTO CHIRURGICO + ANESTESIA,100.45,22.54,2.01
206,20/02/2018,6280,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
207,20/02/2018,2978,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
208,20/02/2018,6283,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
209,20/02/2018,6296,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
210,20/02/2018,2728,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
211,20/02/2018,3249,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
212,20/02/2018,1821,1,AMBULATORIO,VISITA,24.11,5.41,0.48
212,20/02/2018,1821,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
212,20/02/2018,1821,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
212,20/02/2018,1821,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
212,20/02/2018,1821,1,AMBULATORIO,TERAPIA,24.11,5.41,0.48
213,21/02/2018,6297,1,AMBULATORIO,VISITA + TERAPIA,28.13,6.31,0.56
214,21/02/2018,6239,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
215,21/02/2018,5260,1,AMBULATORIO,VISITA,24.11,5.41,0.48
215,21/02/2018,5260,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
216,21/02/2018,3626,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
217,21/02/2018,3282,1,AMBULATORIO,VISITA + TERAPIA,25.72,5.77,0.51
218,21/02/2018,6199,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
219,21/02/2018,6298,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
220,21/02/2018,4320,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
221,22/02/2018,6069,1,AMBULATORIO,VISITA + TERAPIA,34.56,7.75,0.69
222,22/02/2018,6271,1,VACCINAZIONI,VACCINO VERSIFEL CVR,24.11,5.41,0.48
223,22/02/2018,6217,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
224,22/02/2018,6299,1,AMBULATORIO,APPLICAZIONE MICROCHIP,24.11,5.41,0.48
225,22/02/2018,6286,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
225,22/02/2018,6286,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
225,22/02/2018,6286,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
226,22/02/2018,6242,4,VACCINAZIONI,VERSICAN DHPPI,80.36,18.03,1.61
227,22/02/2018,2558,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
227,22/02/2018,2558,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
227,22/02/2018,2558,1,ANALISI,ESAMI DI LABORATORIO,48.22,10.82,0.96
228,23/02/2018,1454,1,AMBULATORIO,VISITA,32.15,7.21,0.64
228,23/02/2018,1454,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
228,23/02/2018,1454,1,ANALISI,ESAME DELLE URINE CON SEDIMENTO,16.07,3.61,0.32
229,23/02/2018,3543,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
230,23/02/2018,5690,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
231,23/02/2018,5821,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
231,23/02/2018,5821,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
231,23/02/2018,5821,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
231,23/02/2018,5821,1,ANALISI,QPE,16.07,3.61,0.32
231,23/02/2018,5821,1,ANALISI,INDAGINE SIEROLOGICA LEISHMANIA,16.07,3.61,0.32
231,23/02/2018,5821,1,ANALISI,TEST SNAP 4DX,16.07,3.61,0.32
231,23/02/2018,5821,1,AMBULATORIO,TERAPIA,28.13,6.31,0.56
232,23/02/2018,3077,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
233,23/02/2018,6295,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
234,23/02/2018,4718,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
235,26/02/2018,4636,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
235,26/02/2018,4636,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
235,26/02/2018,4636,1,AMBULATORIO,TERAPIA,12.06,2.70,0.24
236,26/02/2018,6301,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
236,26/02/2018,6301,1,AMBULATORIO,VISITA,24.11,5.41,0.48
237,26/02/2018,5762,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
237,26/02/2018,5762,1,ANALISI,PROFILO BIOCHIMICO 10,24.11,5.41,0.48
237,26/02/2018,5762,1,ANALISI,PROFILO COAGULATIVO,24.11,5.41,0.48
238,26/02/2018,6302,1,AMBULATORIO,VISITA,24.11,5.41,0.48
239,26/02/2018,5235,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
240,26/02/2018,6281,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
240,26/02/2018,6281,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
240,26/02/2018,6281,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
241,26/02/2018,6291,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
242,26/02/2018,6303,1,AMBULATORIO,VISITA,24.11,5.41,0.48
242,26/02/2018,6303,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
242,26/02/2018,6303,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
243,26/02/2018,6304,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
244,26/02/2018,6305,1,AMBULATORIO,VISITA + TERAPIA,40.18,9.02,0.80
245,27/02/2018,1414,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
246,27/02/2018,5206,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
247,27/02/2018,4467,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
247,27/02/2018,4467,1,ANALISI,TAMPONE MICOBATTERIOLOGICO SPEED BIO,32.15,7.21,0.64
248,28/02/2018,4230,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
250,28/02/2018,6306,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
250,28/02/2018,6306,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
251,28/02/2018,5390,1,AMBULATORIO,TERAPIA,10.45,2.34,0.21
251,28/02/2018,5390,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
252,28/02/2018,6210,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
253,28/02/2018,3887,1,AMBULATORIO,VISITA,24.11,5.41,0.48
253,28/02/2018,3887,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
253,28/02/2018,3887,1,AMBULATORIO,TERAPIA,18.48,4.15,0.37
254,28/02/2018,3820,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
254,28/02/2018,3820,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
255,28/02/2018,6307,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
256,28/02/2018,5847,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
256,28/02/2018,5847,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
256,28/02/2018,5847,1,ANALISI,TEST SNAP FIV/FELV,40.18,9.02,0.80
257,28/02/2018,5964,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
258,28/02/2018,5403,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
258,28/02/2018,5403,1,AMBULATORIO,TERAPIA,24.11,5.41,0.48
258,28/02/2018,5403,1,AMBULATORIO,SOMMINISTRAZIONE,12.06,2.70,0.24
258,28/02/2018,5403,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
259,28/02/2018,2154,1,AMBULATORIO,VISITA,24.11,5.41,0.48
259,28/02/2018,2154,1,AMBULATORIO,INDAGINE XGRAFICA,40.18,9.02,0.80
260,01/03/2018,1415,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
261,01/03/2018,6267,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
262,01/03/2018,6308,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
263,01/03/2018,5172,1,AMBULATORIO,VISITA,24.11,5.41,0.48
263,01/03/2018,5172,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
263,01/03/2018,5172,1,AMBULATORIO,TERAPIA,3.22,0.72,0.06
264,01/03/2018,5116,1,AMBULATORIO,VISITA + TERAPIA,28.13,6.31,0.56
264,01/03/2018,5116,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
265,01/03/2018,1415,1,AMBULATORIO,SOMMINISTRAZIONE,8.04,1.80,0.16
266,01/03/2018,6309,1,AMBULATORIO,VISITA,24.11,5.41,0.48
266,01/03/2018,6309,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
267,02/03/2018,6310,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
268,02/03/2018,6242,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
268,02/03/2018,6242,1,ANALISI,TEST PARVOVIROSI,20.09,4.51,0.40
269,02/03/2018,6311,1,AMBULATORIO,EUTANASIA + SMALTIMENTO CARCASSA,112.50,25.25,2.25
270,02/03/2018,6000,1,AMBULATORIO,VISITA + TERAPIA,34.16,7.66,0.68
270,02/03/2018,6000,1,AMBULATORIO,SOMMINISTRAZIONE,2.01,0.45,0.04
271,02/03/2018,6312,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
272,02/03/2018,2154,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
272,02/03/2018,2154,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
273,02/03/2018,1097,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
273,02/03/2018,1097,1,ANALISI,EMOCROMO CON FORMULA,16.07,3.61,0.32
273,02/03/2018,1097,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,32.15,7.21,0.64
274,02/03/2018,5116,1,AMBULATORIO,SOMMINISTRAZIONE,2.01,0.45,0.04
274,02/03/2018,5116,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
275,05/03/2018,2552,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
276,05/03/2018,5456,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
277,05/03/2018,6296,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
278,05/03/2018,6287,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
279,05/03/2018,3950,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
280,05/03/2018,849,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
281,06/03/2018,4889,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
282,06/03/2018,5116,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
282,06/03/2018,5116,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
283,06/03/2018,6058,1,AMBULATORIO,VISITA DI CONTROLLO,20.09,4.51,0.40
283,06/03/2018,6058,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
283,06/03/2018,6058,1,ANALISI,PROFILO RENALE + PRELIEVO,12.06,2.70,0.24
284,06/03/2018,6292,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
285,06/03/2018,5762,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
286,06/03/2018,6281,1,CHIRURGIA,INTERVENTO CHIRURGICO + ANESTESIA,321.44,72.13,6.43
287,06/03/2018,6281,1,AMBULATORIO,INDAGINE XGRAFICA + SEDAZIONE,120.54,27.05,2.41
287,06/03/2018,6281,1,ANALISI,ESAME ISTOLOGICO,80.36,18.03,1.61
288,06/03/2018,4636,1,AMBULATORIO,INDAGINE XGRAFICA + SEDAZIONE,160.72,36.07,3.21
289,07/03/2018,6011,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
290,07/03/2018,5718,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
291,07/03/2018,6286,2,ANALISI,ESAME DELLE URINE,16.07,3.61,0.32
291,07/03/2018,6286,1,AMBULATORIO,TERAPIA,8.04,1.80,0.16
292,07/03/2018,5386,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
293,07/03/2018,6314,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
294,07/03/2018,5403,1,AMBULATORIO,TERAPIA,1.21,0.27,0.02
294,07/03/2018,5403,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
295,07/03/2018,6303,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
296,07/03/2018,6257,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
297,07/03/2018,1415,1,AMBULATORIO,VISITA,24.11,5.41,0.48
297,07/03/2018,1415,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
297,07/03/2018,1415,1,AMBULATORIO,INDAGINE XGRAFICA,32.15,7.21,0.64
298,07/03/2018,288,1,AMBULATORIO,VISITA + TERAPIA,40.18,9.02,0.80
298,07/03/2018,288,1,ANALISI,TEST DERMATOLOGICO PER DERMATOFITI,12.06,2.70,0.24
299,07/03/2018,5291,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
300,08/03/2018,6316,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
301,08/03/2018,6105,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
302,08/03/2018,4298,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
303,08/03/2018,6228,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
304,08/03/2018,1821,1,AMBULATORIO,TERAPIA,24.11,5.41,0.48
305,08/03/2018,6276,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
306,08/03/2018,6318,1,AMBULATORIO,VISITA+NARCOSI,48.22,10.82,0.96
307,08/03/2018,6317,1,CHIRURGIA,SUTURE CUTANEE,80.36,18.03,1.61
307,08/03/2018,6317,1,ANESTESIA,ANESTESIA,80.36,18.03,1.61
307,08/03/2018,6317,1,AMBULATORIO,SOMMINISTRAZIONE,7.24,1.62,0.14
308,08/03/2018,6315,1,AMBULATORIO,VISITA + TERAPIA,48.22,10.82,0.96
308,08/03/2018,6315,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
309,09/03/2018,2546,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
310,09/03/2018,342,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
311,09/03/2018,5384,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
312,09/03/2018,6064,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
312,09/03/2018,6064,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
312,09/03/2018,6064,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
313,12/03/2018,6254,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
314,12/03/2018,4842,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
315,12/03/2018,6194,1,VACCINAZIONI,VERSICAN L4,24.11,5.41,0.48
315,12/03/2018,6194,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
316,12/03/2018,4228,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
317,12/03/2018,6227,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
318,12/03/2018,1454,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
318,12/03/2018,1454,1,AMBULATORIO,TERAPIA,24.11,5.41,0.48
319,12/03/2018,2546,1,AMBULATORIO,VISITA,24.11,5.41,0.48
319,12/03/2018,2546,1,AMBULATORIO,SOMMINISTRAZIONE,4.02,0.90,0.08
319,12/03/2018,2546,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
319,12/03/2018,2546,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
319,12/03/2018,2546,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
320,13/03/2018,2077,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
321,13/03/2018,6069,1,AMBULATORIO,VISITA,24.11,5.41,0.48
321,13/03/2018,6069,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
321,13/03/2018,6069,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
321,13/03/2018,6069,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
321,13/03/2018,6069,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
322,13/03/2018,5862,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
323,13/03/2018,5225,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
324,13/03/2018,24,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
325,13/03/2018,594,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
326,13/03/2018,2694,1,AMBULATORIO,VISITA,24.11,5.41,0.48
326,13/03/2018,2694,1,AMBULATORIO,TERAPIA,16.07,3.61,0.32
327,13/03/2018,1471,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
328,13/03/2018,4875,1,AMBULATORIO,VISITA,24.11,5.41,0.48
328,13/03/2018,4875,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
328,13/03/2018,4875,1,ANALISI,PROFILO COAGULATIVO,24.11,5.41,0.48
328,13/03/2018,4875,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
328,13/03/2018,4875,1,AMBULATORIO,TERAPIA S.C.,4.02,0.90,0.08
329,13/03/2018,6320,1,AMBULATORIO,VISITA+ES. COPROLOGICO,24.11,5.41,0.48
329,13/03/2018,6320,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
330,13/03/2018,3418,1,AMBULATORIO,PRESCRIZIONE PER PROSEGUIMENTO TERAPIA,8.04,1.80,0.16
331,13/03/2018,6321,1,AMBULATORIO,VISITA+ES. COPROLOGICO,28.13,6.31,0.56
332,13/03/2018,1415,1,CHIRURGIA,INTERVENTO CHIRURGICO + ANESTESIA,289.29,64.92,5.79
249,28/02/2018,3651,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
333,14/03/2018,4875,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
333,14/03/2018,4875,1,ANALISI,ESAME DELLE URINE,8.04,1.80,0.16
334,14/03/2018,6322,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
335,14/03/2018,6323,1,AMBULATORIO,VISITA,24.11,5.41,0.48
336,14/03/2018,6183,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
337,14/03/2018,6324,1,AMBULATORIO,VISITA,24.11,5.41,0.48
337,14/03/2018,6324,1,AMBULATORIO,SOMMINISTRAZIONE,4.02,0.90,0.08
338,14/03/2018,4752,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
338,14/03/2018,4752,2,ANALISI,TEST SNAP 4DX + SNAP LEISH,56.25,12.62,1.13
339,15/03/2018,5944,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
340,15/03/2018,3125,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
341,15/03/2018,6123,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
341,15/03/2018,6123,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
342,15/03/2018,5924,1,AMBULATORIO,VISITA,24.11,5.41,0.48
342,15/03/2018,5924,1,AMBULATORIO,INDAGINE XGRAFICA,32.15,7.21,0.64
342,15/03/2018,5924,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
343,15/03/2018,4709,1,ANALISI,ESAME CITOLOGICO,28.13,6.31,0.56
344,15/03/2018,2333,1,ANALISI,ESAME CITOLOGICO,28.13,6.31,0.56
345,15/03/2018,6262,1,AMBULATORIO,SOMMINISTRAZIONE CYTOPOINT S.C.,40.18,9.02,0.80
346,15/03/2018,2024,1,ANALISI,ESAME CITOLOGICO,28.13,6.31,0.56
347,15/03/2018,4146,1,AMBULATORIO,VISITA,24.11,5.41,0.48
347,15/03/2018,4146,1,ANALISI,EMOCROMO CON FORMULA,16.07,3.61,0.32
347,15/03/2018,4146,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
347,15/03/2018,4146,1,AMBULATORIO,INDAGINE XGRAFICA,16.07,3.61,0.32
348,15/03/2018,2410,1,ANALISI,ESAME CITOLOGICO,28.13,6.31,0.56
349,15/03/2018,6249,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
349,15/03/2018,6249,1,ANALISI,ESAMI DI LABORATORIO,16.07,3.61,0.32
350,15/03/2018,4399,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
351,16/03/2018,466,1,AMBULATORIO,VISITA,24.11,5.41,0.48
351,16/03/2018,466,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
351,16/03/2018,466,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
351,16/03/2018,466,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
351,16/03/2018,466,1,AMBULATORIO,TERAPIA,18.48,4.15,0.37
352,16/03/2018,1415,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
352,16/03/2018,1415,1,ANALISI,PROFILO COAGULATIVO,20.09,4.51,0.40
352,16/03/2018,1415,1,ANALISI,PROFILO BIOCHIMICO 15+ ELETTROLITI,40.18,9.02,0.80
352,16/03/2018,1415,1,CHIRURGIA,SALDO INTERVENTO CHIRURGICO,160.72,36.07,3.21
353,16/03/2018,3795,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
353,16/03/2018,3795,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
353,16/03/2018,3795,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
353,16/03/2018,3795,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
353,16/03/2018,3795,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
353,16/03/2018,3795,1,ANESTESIA,SEDAZIONE,24.11,5.41,0.48
353,16/03/2018,3795,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
354,16/03/2018,4325,1,AMBULATORIO,VISITA + TERAPIA,36.17,8.11,0.72
355,16/03/2018,6241,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
356,19/03/2018,2300,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
356,19/03/2018,2300,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
356,19/03/2018,2300,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
357,19/03/2018,3580,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
358,19/03/2018,5112,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
359,19/03/2018,5861,1,VACCINAZIONI,VERSICAN DHPPI+L4,40.18,9.02,0.80
360,19/03/2018,6320,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
361,19/03/2018,6266,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
362,19/03/2018,6124,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
363,19/03/2018,2300,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
363,19/03/2018,2300,1,ANALISI,PROFILO BIOCHIMICO 15,32.15,7.21,0.64
363,19/03/2018,2300,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
364,20/03/2018,2978,1,VACCINAZIONI,VERSICAN DHPPI+L4,32.15,7.21,0.64
366,20/03/2018,5655,1,ANALISI,TEST SNAP 4DX + SNAP LEISH,28.13,6.31,0.56
366,20/03/2018,5655,1,AMBULATORIO,ESAME COPROLOGICO,8.04,1.80,0.16
367,20/03/2018,6310,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
368,20/03/2018,1900,1,AMBULATORIO,VISITA + TERAPIA,32.15,7.21,0.64
369,20/03/2018,6307,1,VACCINAZIONI,VERSICAN DHPPI,24.11,5.41,0.48
370,20/03/2018,2204,1,AMBULATORIO,VISITA + TERAPIA,28.13,6.31,0.56
370,20/03/2018,2204,1,ANALISI,EMOCROMO CON FORMULA,20.09,4.51,0.40
370,20/03/2018,2204,1,AMBULATORIO,ESAME ECOGRAFICO,40.18,9.02,0.80
370,20/03/2018,2204,1,AMBULATORIO,SOMMINISTRAZIONE,18.88,4.24,0.38
